Sleep_Current,Motor_Peak_Current,Failure_Mode
0.00002583209047634,0.478593173,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002708031210217,0.479622309,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002498329977137,0.481462841,UNLOCK POSITION CONFIRMATION Error
0.00002443408225623,0.476683342,UNLOCK POSITION CONFIRMATION Error
0.00002483351317635,0.444374766,Retry:KEYS TEST
0.00002493337090618,0.437331492,TEST KEYS Error Keys Found 
0.00002752967188734,0.483686427,UNLOCK POSITION CONFIRMATION Error
0.00002208742560007,0.451823021,Retry:KEYS TEST
0.00002728002756160,0.459600298,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002822867599757,0.448065065,UNLOCK POSITION CONFIRMATION Error
0.00002488344204118,0.479326833,UNLOCK POSITION CONFIRMATION Error
0.00002628145026154,0.478620641,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002263664311539,0.445931054,TEST KEYS Error Keys Found 
0.00002987632854319,0.454913021,UNLOCK POSITION CONFIRMATION Error
0.00002927718216298,0.539304088,TEST KEYS Error Keys Found 
0.00002907746670289,0.470106549,UNLOCK POSITION CONFIRMATION Error
0.00002897760897222,0.458405713,UNLOCK POSITION CONFIRMATION Error
0.00002463379771606,0.436744693,UNLOCK POSITION CONFIRMATION Error
0.00002713024096700,0.479404769,TEST KEYS Error Keys Found 
0.00002333564722537,0.466513112,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002513308636634,0.47850455,UNLOCK POSITION CONFIRMATION Error
0.00002438415339122,0.46928472,UNLOCK POSITION CONFIRMATION Error
0.00002553251728654,0.509150311,LOCK POSITION CONFIRMATION Error
0.00002378500701092,0.488809039,UNLOCK POSITION CONFIRMATION Error
0.00002418443793108,0.471874334,TEST KEYS Error Keys Found 
0.00002757960075237,0.464144532,UNLOCK POSITION CONFIRMATION Error
0.00002877789351278,0.473173185,Retry:KEYS TEST
0.00002807888940260,0.469016901,UNLOCK POSITION CONFIRMATION Error
0.00002728002756228,0.476373082,UNLOCK POSITION CONFIRMATION Error
0.00002897760897281,0.500592577,TEST KEYS Error Keys Found 
0.00002623152139690,0.447359568,UNLOCK POSITION CONFIRMATION Error
0.00002877789351270,0.472382611,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002922725329781,0.464400518,UNLOCK POSITION CONFIRMATION Error
0.00002922725329781,0.464400518,UNLOCK POSITION CONFIRMATION Error
0.00002822867599765,0.47566524,Retry:KEYS TEST
0.00003062526151833,0.457655516,UNLOCK POSITION CONFIRMATION Error
0.00002528287296159,0.448568709,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002398472247110,0.489916264,UNLOCK POSITION CONFIRMATION Error
0.00002588201934149,0.480372892,Retry:KEYS TEST
0.00002493337090644,0.479576824,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002478358431140,0.471945632,UNLOCK POSITION CONFIRMATION Error
0.00002243692765540,0.470257136,Retry:KEYS TEST
0.00002383493587597,0.506787066,UNLOCK POSITION CONFIRMATION Error
0.00002478358431129,0.476440337,UNLOCK POSITION CONFIRMATION Error
0.00002648116572199,0.481019172,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002573223274663,0.453617063,UNLOCK POSITION CONFIRMATION Error
0.00002812881826740,0.457308211,UNLOCK POSITION CONFIRMATION Error
0.00002423436679606,0.511567317,Retry:KEYS TEST
0.00002742981415736,0.504498771,UNLOCK POSITION CONFIRMATION Error
0.00002343550495585,0.451470818,Retry:KEYS TEST
0.00002732995642722,0.470675838,UNLOCK POSITION CONFIRMATION Error
0.00002618159253186,0.447307094,UNLOCK POSITION CONFIRMATION Error
0.00003042554605829,0.4522911,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002333564722587,0.460093496,Retry:KEYS TEST
0.00002503322863646,0.455343207,UNLOCK POSITION CONFIRMATION Error
0.00002578216161174,0.472297633,Retry:KEYS TEST
0.00002473365544639,0.459534245,TEST KEYS Error Keys Found 
0.00002693052550712,0.469552388,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002558244615162,0.446259437,TEST KEYS Error Keys Found 
0.00002757960075235,0.461238718,Retry:KEYS TEST
0.00002558244615158,0.448033264,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002603180593642,0.441405102,Retry:KEYS TEST
0.00002423436679600,0.447153211,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002897760897281,0.454186203,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002742981415674,0.458286918,UNLOCK POSITION CONFIRMATION Error
0.00002742981415674,0.458286918,UNLOCK POSITION CONFIRMATION Error
0.00002742981415674,0.458286918,UNLOCK POSITION CONFIRMATION Error
0.00002688059664216,0.498253454,UNLOCK POSITION CONFIRMATION Error
0.00002693052550716,0.506517899,UNLOCK POSITION CONFIRMATION Error
0.00002628145026196,0.443152256,UNLOCK POSITION CONFIRMATION Error
0.00002463379771621,0.454145211,UNLOCK POSITION CONFIRMATION Error
0.00002708031210223,0.451750369,Retry:KEYS TEST
0.00003012597286824,0.469873884,TEST KEYS Error Keys Found 
0.00002453393998620,0.482353773,Retry:KEYS TEST
0.00002453393998615,0.470450609,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002453393998614,0.448195833,TEST KEYS Error Keys Found 
0.00002817874713240,0.463900379,TEST KEYS Error Keys Found 
0.00002708031210208,0.468232465,TEST KEYS Error Keys Found 
0.00002887775124281,0.478037015,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002613166366686,0.518542497,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002892768010779,0.499942852,Retry:KEYS TEST
0.00002548258842144,0.482951722,UNLOCK POSITION CONFIRMATION Error
0.00002493337090642,0.450972776,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002513308636594,0.457192525,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002388486474071,0.465366693,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002478358431135,0.470644682,UNLOCK POSITION CONFIRMATION Error
0.00002688059664216,0.477677676,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002553251728658,0.451709533,TEST KEYS Error Keys Found 
0.00002638130799194,0.448367935,TEST KEYS Error Keys Found 
0.00002713024096725,0.472697613,TEST KEYS Error Keys Found 
0.00002523294409632,0.447775626,TEST KEYS Error Keys Found 
0.00002633137912697,0.467265047,Retry:KEYS TEST
0.00002792910280753,0.458293159,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002762952961734,0.467267889,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002388486474105,0.535270212,TEST KEYS Error Keys Found 
0.00002563237501671,0.475316135,TEST KEYS Error Keys Found 
0.00002563237501671,0.475316135,UNLOCK POSITION CONFIRMATION Error
0.00002493337090635,0.466789769,UNLOCK POSITION CONFIRMATION Error
0.00002832853372739,0.470473926,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002528287296159,0.483093521,UNLOCK POSITION CONFIRMATION Error
0.00002673081004689,0.474777756,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002822867599766,0.479779535,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002822867599766,0.479779535,UNLOCK POSITION CONFIRMATION Error
0.00002802896053722,0.491693386,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002747974302237,0.445991417,Retry:KEYS TEST
0.00002648116572196,0.469443392,LOCK POSITION CONFIRMATION Error
0.00002368514928090,0.49048701,TEST KEYS Error Keys Found 
0.00002757960075231,0.4484971,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002633137912655,0.49525073,TEST KEYS Error Keys Found 
0.00002558244615168,0.45881442,Retry:KEYS TEST
0.00002603180593675,0.458915324,TEST KEYS Error Keys Found 
0.00002742981415733,0.472515371,Retry:KEYS TEST
0.00002658102345182,0.484378047,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002802896053738,0.42443355,TEST KEYS Error Keys Found 
0.00002583209047660,0.477143336,Retry:KEYS TEST
0.00002568230388158,0.473343194,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002618159253184,0.454925053,TEST KEYS Error Keys Found 
0.00002608173480168,0.450568074,UNLOCK POSITION CONFIRMATION Error
0.00002573223274655,0.444178961,Retry:KEYS TEST
0.00002388486474099,0.467012501,UNLOCK POSITION CONFIRMATION Error
0.00002538273069154,0.481369975,UNLOCK POSITION CONFIRMATION Error
0.00002578216161150,0.461055428,UNLOCK POSITION CONFIRMATION Error
0.00008270106772197,0.460137134,SLEEP CURRENT Error
0.00002852824918746,0.441335342,Retry:KEYS TEST
0.00002683066777690,0.476738512,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002383493587587,0.473432666,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002478358431112,0.488509467,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002478358431112,0.488509467,UNLOCK POSITION CONFIRMATION Error
0.00002628145026144,0.448202027,TEST KEYS Error Keys Found 
0.00002308600290068,0.437474513,TEST KEYS Error Keys Found 
0.00002827860486236,0.459469735,Retry:KEYS TEST
0.00002413450906587,0.457089524,Retry:KEYS TEST
0.00002263664311549,0.479250292,Retry:KEYS TEST
0.00002523294409654,0.461382164,Retry:KEYS TEST
0.00002508315750146,0.476758736,Retry:KEYS TEST
0.00002588201934170,0.480635171,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002693052550720,0.477715273,Retry:PMC_DIN_WAIT_FOR_STATUS
0.00002518301523153,0.486051812,Retry:KEYS TEST
0.00002373507814574,0.508975455,Retry:KEYS TEST
0.00002203749673527,2.58E-05,WAIT LOCK/UNLOCK Error
