Sleep_Current,Motor_Peak_Current,Failure_Mode
2.99762E-05,0.549419145,LOCK POSITION CONFIRMATION Error
2.99762E-05,0.550286962,LOCK POSITION CONFIRMATION Error
3.21231E-05,0.474494657,LOCK POSITION CONFIRMATION Error
3.41203E-05,0.552267945,LOCK POSITION CONFIRMATION Error
3.30718E-05,0.549579168,LOCK POSITION CONFIRMATION Error
3.30718E-05,0.549882487,LOCK POSITION CONFIRMATION Error
3.33713E-05,0.455349848,LOCK POSITION CONFIRMATION Error
2.78292E-05,0.478291852,LOCK POSITION CONFIRMATION Error
3.81645E-05,0.520118356,LOCK POSITION CONFIRMATION Error
2.84284E-05,0.544705247,LOCK POSITION CONFIRMATION Error
2.60318E-05,0.507506198,LOCK POSITION CONFIRMATION Error
2.77793E-05,0.470694465,LOCK POSITION CONFIRMATION Error
2.68806E-05,0.534181609,LOCK POSITION CONFIRMATION Error
2.82786E-05,0.436318983,LOCK POSITION CONFIRMATION Error
0.0000287,0.514831825,LOCK POSITION CONFIRMATION Error
0.0000255,0.484629386,LOCK POSITION CONFIRMATION Error
0.0000265,0.467084249,LOCK POSITION CONFIRMATION Error
0.0000322,0.542545917,LOCK POSITION CONFIRMATION Error
0.0000286,0.45732888,LOCK POSITION CONFIRMATION Error
0.0000283,0.484449741,LOCK POSITION CONFIRMATION Error
0.0000321,0.537421602,LOCK POSITION CONFIRMATION Error
0.0000306,0.546564154,LOCK POSITION CONFIRMATION Error
0.0000244,0.53111427,LOCK POSITION CONFIRMATION Error
0.0000304,0.526697501,LOCK POSITION CONFIRMATION Error
0.0000268,0.548482676,LOCK POSITION CONFIRMATION Error
0.0000268,0.547460679,LOCK POSITION CONFIRMATION Error
0.0000272,0.544229827,LOCK POSITION CONFIRMATION Error
0.000029,0.53229574,LOCK POSITION CONFIRMATION Error
0.0000253,0.62667952,LOCK POSITION CONFIRMATION Error
0.0000256,0.491482387,LOCK POSITION CONFIRMATION Error
0.0000301,0.552331855,LOCK POSITION CONFIRMATION Error
0.000033,0.4647442,LOCK POSITION CONFIRMATION Error
0.0000314,0.464002983,LOCK POSITION CONFIRMATION Error
0.0000288,0.464494089,LOCK POSITION CONFIRMATION Error
0.0000308,0.47228395,LOCK POSITION CONFIRMATION Error
0.0000288,0.554421035,LOCK POSITION CONFIRMATION Error
0.0000333,0.500374438,LOCK POSITION CONFIRMATION Error
0.0000287,0.511304743,LOCK POSITION CONFIRMATION Error
