SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
FKL-SLLK*8730672,LOCK.F51A.GEO.622.CAM..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,622,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BKRD
194555099050,LOCK.F51A.ACC.605.625.LH.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,625,,,,,,,,,LH,16-086,,10-027,,134,F51BL
FKL-SLLK*8829332,LOCK.F51A.CF.LAT.619.16-203.10-025.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,,,,,,,,,,16-203,,10-025,,134,F51BLU
194555106208,LOCK.F10.MER.716.BRK..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,MER,716,,,BRK.,BRK.,BRK.,,,,,,,16-080,,10-027,,134,F10BLD
FKL-SLLK*8523298,LOCK.F51A.DMP.622.COL..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,DMP,622,,,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BLD
FKL-SLLK*8533737,LOCK.F51A.BEL.609.16-211.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BEL,609,,,,,,,,,,,,16-211,,10-027,,134,F51BKST
194555078482,LOCK.F40.ACC.619.605.AND..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,605,AND.,AND.,AND.,,,,,,RH,16-080,,10-027,,134,F40BL
194555078499,LOCK.F40.ACC.619.625.AND..LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,625,AND.,AND.,AND.,,,,,,LH,16-080,,10-027,,134,F40BL
194555078406,LOCK.F51A.AND.613.AND..16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,613,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BKR
194555078413,LOCK.F51A.BIR.716.AND..16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BIR,716,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BL
194555078420,LOCK.F51A.BRW.619.BRK..16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BRW,619,,,BRK.,BRK.,BRK.,,,,,,,16-086,,10-027,,134,F51BLD
194555078437,LOCK.F40.BRW.619.BRK..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BRW,619,,,BRK.,BRK.,BRK.,,,,,,,16-080,,10-027,,134,F40BLD
194555078444,LOCK.F170.BRW.619.BRK..134,ACTIVE,FKL-SLLK,LOCK,F170,,BRW,619,,,BRK.,BRK.,BRK.,,,,,,,,,,,134,F170BLD
194555078451,LOCK.F51A.BWE.626.CEN..16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BWE,626,,,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BKRD
194555078468,LOCK.F51A.AVA.620.CAM..16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AVA,620,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BLD
194555078475,LOCK.F40.ACC.605.625.AND..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,605,,625,AND.,AND.,AND.,,,,,,RH,16-080,,10-027,,134,F40BL
194555001015,LOCK.F51A.GEO.622.605.CAM..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,622,,605,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BKRD
194555001022,LOCK.F40.PLY.622.716.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,PLY,622,,716,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BKRD
