SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
194555096424,LOCK.F51A.LAT.619.GEE..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,GEE.,GEE.,GEE.,,,,,,,16-086,,10-027,,134,F51BLD
194555096431,LOCK.F51A.LAT.622.GEE..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,622,,,GEE.,GEE.,GEE.,,,,,,,16-086,,10-027,,134,F51BLD
194555096448,LOCK.F51A.NBK.619.GEE..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,NBK,619,,,GEE.,GEE.,GEE.,,,,,,,16-086,,10-027,,134,F51BLD
194555096455,LOCK.F51A.NIX.622.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,NIX,622,,,,,,,,,,,,16-086,,10-027,,134,F51BKRD
194555096462,LOCK.F51A.PEN.619.CAM..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,619,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BL
194555096479,LOCK.F51A.PEN.619.COL..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,619,,,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BL
194555096486,LOCK.F51A.PEN.619.IND..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,619,,,IND.,IND.,IND.,,,,,,,16-086,,10-027,,134,F51BLD
194555096493,LOCK.F51A.PEN.622.CAM..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,622,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BL
194555096509,LOCK.F51A.PEN.622.COL..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,622,,,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BL
194555096516,LOCK.F51A.PEN.622.IND..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,622,,,IND.,IND.,IND.,,,,,,,16-086,,10-027,,134,F51BLD
194555096523,LOCK.F51A.PEN.716.CAM..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PEN,716,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BL
043156435784,LOCK.F51A.FLA.609.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,609,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156435234,LOCK.F51A.FLA.609.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,609,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156435913,LOCK.F51A.FLA.613.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,613,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436231,LOCK.F51A.FLA.620.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,620,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156435906,LOCK.F51A.FLA.626.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156421329,LOCK.F51A.FLA.626.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,626,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156435845,LOCK.F51A.FLA.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156421459,LOCK.F51A.PLY.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,716,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156436453,LOCK.F51A.SIE.505.605.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,505,,605,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156421084,LOCK.F51A.AVA.716.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AVA,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156427246,LOCK.F51A.SIE.505.605.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,505,,605,,,,,,,,,,16-211,,10-063,,134,F51BKRT
043156435944,LOCK.F51A.AVA.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AVA,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436187,LOCK.F51A.SIE.609.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,609,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156420490,LOCK.F51A.BEL.605.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BEL,605,,,,,,,,,,,,16-086,,10-027,,134,F51BKS
043156421213,LOCK.F51A.SIE.613.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,613,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
043156436637,LOCK.F51A.SIE.613.AND..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,613,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BKR
043156420247,LOCK.F51A.BEL.605.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BEL,605,,,,,,,,,,,,16-211,,10-063,,134,F51BKST
043156435838,LOCK.F51A.SIE.619.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,619,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156435715,LOCK.F51A.BEL.626.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BEL,626,,,,,,,,,,,,16-086,,10-027,,134,F51BKS
043156436392,LOCK.F51A.SIE.620.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,620,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156436064,LOCK.F51A.BIR.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BIR,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436408,LOCK.F51A.SIE.622.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,622,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156436545,LOCK.F51A.CHP.613.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,613,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436644,LOCK.F51A.SIE.622.16-207.10-026.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,622,,,,,,,,,,,,16-207,,10-026,,134,F51BKR
043156436019,LOCK.F51A.CHP.619.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436699,LOCK.F51A.SIE.622.WKF..16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,622,,,WKF.,WKF.,WKF.,,,,,,,16-211,,10-063,,134,F51BKRDT
043156436538,LOCK.F51A.CHP.620.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,620,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156427314,LOCK.F51A.SIE.625.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,625,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
043156435890,LOCK.F51A.CHP.620.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,620,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156436446,LOCK.F51A.SIE.626.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,626,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156435975,LOCK.F51A.CHP.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156435678,LOCK.F51A.SIE.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,716,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
043156436590,LOCK.F51A.CLT.609.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,609,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436507,LOCK.F51A.STA.505.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,505,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156436088,LOCK.F51A.CLT.619.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436460,LOCK.F51A.STA.609.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,609,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436156,LOCK.F51A.CLT.620.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,620,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156435937,LOCK.F51A.STA.613.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,613,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436514,LOCK.F51A.CLT.626.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436149,LOCK.F51A.STA.619.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436033,LOCK.F51A.CLT.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156435623,LOCK.F51A.STA.619.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,619,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156435791,LOCK.F51A.ELA.505.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,505,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436040,LOCK.F51A.STA.620.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,620,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436118,LOCK.F51A.ELA.605.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,605,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156436002,LOCK.F51A.STA.620.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,620,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156436248,LOCK.F51A.ELA.609.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,609,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436101,LOCK.F51A.STA.716.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,STA,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436415,LOCK.F51A.ELA.625.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,625,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436682,LOCK.F51A.CF.ACC.619.RH.16-203.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,619,,,,,,,,,,,RH,16-203,,10-063,,134,F51BLU
043156420377,LOCK.F51A.ELA.626.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156436620,LOCK.F51A.CF.ELA.626.16-203.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-203,,10-063,,134,F51BLU
043156435807,LOCK.F51A.ELA.626.16-211.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-211,,10-027,,134,F51BLT
043156436262,LOCK.F51A.FLA.505.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,505,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156435661,LOCK.F51A.FLA.605.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,605,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156420308,LOCK.F51A.FLA.605.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,605,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156420667,LOCK.F51A.FLA.609.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,609,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555106536,LOCK.F80.PLY.622.619.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,PLY,622,,619,,,,,,,,,,16-086,,10-027,,134,F51BKR
FKL-SLLK*8859211,LOCK.F51A.LAT.625.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,625,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8859213,LOCK.F51A.MNH.619.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MNH,619,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8859215,LOCK.F51A.ORB.626.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ORB,626,,,,,,,,,,,,16-211,,10-063,,134,F51BKST
FKL-SLLK*8859217,LOCK.F51A.PLY.609.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,609,,,,,,,,,,,,16-211,,10-063,,134,F51BKST
FKL-SLLK*8859219,LOCK.F51A.PLY.716.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,716,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
FKL-SLLK*8859185,LOCK.F51A.MER.619.GRW..16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MER,619,,,GRW.,GRW.,GRW.,,,,,,,16-086,,10-027,,134,F51BLD
FKL-SLLK*8859201,LOCK.F51A.ACC.605.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8859203,LOCK.F51A.BIR.716.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BIR,716,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8859205,LOCK.F51A.BWE.619.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BWE,619,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
FKL-SLLK*8859207,LOCK.F51A.FLA.605.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,605,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8859209,LOCK.F51A.FLA.622.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,622,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
043156063871,LOCK.F51A.BRW.622.GRW..16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BRW,622,,,GRW.,GRW.,GRW.,,,,,,,16-211,,10-063,,134,F51BLDT
043156081486,LOCK.F51A.VLA.619.ADD..16-086.10-027.134.KA2.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,VLA,619,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLDU
043156081493,LOCK.F40.LAT.626.16-210.10-025.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,626,,,,,,,,,,,,16-210,,10-025,,134,F40BL
043156082025,LOCK.F51A.ACC.625.GRW..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,625,,,GRW.,GRW.,GRW.,,,,,,,16-086,,10-027,,134,F51BLDU
043156082674,LOCK.F51A.BRW.619.16-086.10-027.134.KA2.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BRW,619,,,,,,,,,,,,16-086,,10-027,,134,F51BLT
043156082643,LOCK.F40.SIE.619.716.BRK..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,SIE,619,,716,BRK.,BRK.,BRK.,,,,,,,16-080,,10-027,,134,F40BKRD
FKL-SLLK*7402150,LOCK.F51A.FLA.619.16-211.10-063.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,619,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*7402152,LOCK.F51A.SIE.619.16-211.10-063.134.MK.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,619,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
043156083275,LOCK.F40.LAT.619.625.COL..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,619,,625,COL.,COL.,COL.,,,,,,,16-080,,10-027,,134,F40BLD
FKL-SLLK*7477009,LOCK.F51A.GEO.609.ACC.LH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,609,ACC,,,,,,,,,,LH,16-086,,10-027,,134,F51BKSD
043156094486,LOCK.F40.LAT.619.CAM..16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-026,,134,F40BLDT
043156094493,LOCK.F40.BRW.619.CAM..16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,BRW,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-026,,134,F40BLDT
043156094509,LOCK.F10.BRW.619.CAM..16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F10,,BRW,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-026,,134,F10BLDT
043156094516,LOCK.F51A.AND.626.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,626,,,,,,,,,,,,16-086,,10-027,,134,F51BKRU
043156096176,LOCK.F40.PLY.609.625.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,PLY,609,,625,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
043156096183,LOCK.F51A.DMP.619.ULD..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,DMP,619,,,ULD.,ULD.,ULD.,,,,,,,16-086,,10-027,,134,F51BLD
194555056947,LOCK.F10.ACC.619.AND..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,ACC,619,,,AND.,AND.,AND.,,,,,,,16-080,,10-027,,134,F10BL
194555056916,LOCK.F80.MER.625.LH.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,MER,625,,,,,,,,,,,LH,16-086,,10-027,,134,F51BL
194555056923,LOCK.F80.MER.625.RH.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,MER,625,,,,,,,,,,,RH,16-086,,10-027,,134,F51BL
043156097074,LOCK.F80.LAT.619.16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,LAT,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
043156097036,LOCK.F51A.CF.CHP.625.WKF..16-203.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,625,,,WKF.,WKF.,WKF.,,,,,,,16-203,,10-027,,134,F51BLDU
043156097043,LOCK.F51A.CF.CHP.619.625.WKF..LH.16-203.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,619,,625,WKF.,WKF.,WKF.,,,,,,LH,16-203,,10-027,,134,F51BLDU
043156097050,LOCK.F51A.CF.CHP.619.625.WKF..RH.16-203.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CHP,619,,625,WKF.,WKF.,WKF.,,,,,,RH,16-203,,10-027,,134,F51BLDU
043156095483,LOCK.F40.FLA.619.RH.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F40,,FLA,619,,,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156095490,LOCK.F40.FLA.619.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F40,,FLA,619,,,,,,,,,,,,16-080,,10-027,,134,F40BL
043156095506,LOCK.F10.FLA.619.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F10,,FLA,619,,,,,,,,,,,,16-080,,10-027,,134,F10BLT
043156095513,LOCK.F170.FLA.619.LH.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F170,,FLA,619,,,,,,,,,,,LH,,,,,134,F170BL
043156095476,LOCK.F10.FLA.619.RH.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F10,,FLA,619,,,,,,,,,,,RH,16-080,,10-027,,134,F10BLT
194555071209,LOCK.F51A.AVA.619.ADD..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AVA,619,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLD
FKL-SLLK*8536821,LOCK.F80.ELA.619.16-086.10-027.134.KA.DETAIL.C,ACTIVE,FKL-SLLK,LOCK,F80,,ELA,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555087743,LOCK.F10.ACC.613.CAM..16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F10,,ACC,613,,,CAM.,CAM.,CAM.,,,,,,,16-200,,10-026,,134,F10BLD
194555087750,LOCK.F40.ACC.613.CAM..16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,613,,,CAM.,CAM.,CAM.,,,,,,,16-200,,10-026,,134,F40BLD
194555091245,LOCK.F10.LAT.619.CAM..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F10,,LAT,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-063,,134,F10BLDT
194555091252,LOCK.F40.LAT.619.CAM..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-063,,134,F40BLDT
194555093584,LOCK.F40.JAZ.716.16-080.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,JAZ,716,,,,,,,,,,,,16-080,,10-026,,134,F40BL
194555093591,LOCK.F10.JAZ.716.16-080.10-026.134,ACTIVE,FKL-SLLK,LOCK,F10,,JAZ,716,,,,,,,,,,,,16-080,,10-026,,134,F10BL
194555093577,LOCK.F80.CF.BRW.625.16-204.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,BRW,625,,,,,,,,,,,,16-204,,10-027,,134,F51BLU
194555096721,LOCK.F51A.LAT.626.16-086.10-027.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555096646,LOCK.F51A.SWA.625.CEN..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SWA,625,,,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BKRD
194555096653,LOCK.F51A.SWA.625.COL..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SWA,625,,,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BKRD
194555096660,LOCK.F51A.SWA.626.CEN..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SWA,626,,,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BKRD
194555096677,LOCK.F51A.SWA.716.CEN..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SWA,716,,,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BKRD
194555096684,LOCK.F51A.SWA.716.COL..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SWA,716,,,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BKRD
194555096691,LOCK.F51A.WIT.619.IND..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,WIT,619,,,IND.,IND.,IND.,,,,,,,16-086,,10-027,,134,F51BLD
194555096349,LOCK.F51A.WIT.622.IND..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,WIT,622,,,IND.,IND.,IND.,,,,,,,16-086,,10-027,,134,F51BLD
194555096356,LOCK.F51A.WIT.716.IND..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,WIT,716,,,IND.,IND.,IND.,,,,,,,16-086,,10-027,,134,F51BLD
194555111462,LOCK.F10.CF.LAT.622.COL..16-203.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,LAT,622,,,COL.,COL.,COL.,,,,,,,16-203,,10-027,,134,F10BLDU
