Date,Open,High,Low,Close,Adj Close,Volume
2020-09-10,49.360001,49.599998,48.000000,48.000000,47.805088,12165600
2020-09-11,48.320000,48.400002,47.439999,47.599998,47.406708,8989825
2020-09-14,47.919998,49.279999,47.680000,49.200001,49.000214,9250263
2020-09-15,49.360001,49.759998,48.160000,48.799999,48.601837,10793850
2020-09-16,48.799999,54.480000,48.400002,54.000000,53.780724,31998313
2020-09-17,54.480000,57.439999,53.360001,56.400002,56.170979,32630038
2020-09-18,55.360001,57.119999,54.959999,55.040001,54.816498,18160100
2020-09-21,53.040001,53.200001,49.840000,50.799999,50.593719,20342450
2020-09-22,51.200001,52.639999,49.680000,50.000000,49.796970,17612625
2020-09-23,50.240002,51.360001,48.799999,48.880001,48.681519,11080588
2020-09-24,48.799999,49.439999,48.000000,48.480000,48.283142,11933725
2020-09-25,48.480000,49.360001,48.160000,48.880001,48.761982,9972338
2020-09-28,49.840000,50.480000,49.439999,49.599998,49.480240,10411600
2020-09-29,49.680000,49.840000,48.480000,48.959999,48.841782,9196450
2020-09-30,49.119999,50.320000,49.119999,49.840000,49.719666,12097700
2020-10-01,50.160000,50.320000,48.880001,49.919998,49.799465,9896950
2020-10-02,48.400002,51.200001,48.400002,51.119999,50.996574,11259550
2020-10-05,51.119999,51.599998,50.560001,51.279999,51.156185,7285450
2020-10-06,51.439999,52.639999,48.880001,49.360001,49.240818,21258275
2020-10-07,49.759998,51.200001,49.680000,50.480000,50.358116,10410763
2020-10-08,50.880001,53.360001,50.720001,53.200001,53.071548,12895913
2020-10-09,56.560001,56.560001,53.599998,54.720001,54.587883,21438438
2020-10-12,55.360001,55.360001,53.919998,54.639999,54.508072,11129550
2020-10-13,54.320000,54.560001,53.279999,53.759998,53.630196,9410950
2020-10-14,53.759998,55.119999,53.759998,54.560001,54.428268,12243588
2020-10-15,53.599998,55.040001,52.880001,54.959999,54.827297,11156588
2020-10-16,55.680000,58.799999,55.520000,58.320000,58.179188,21143413
2020-10-19,59.119999,59.759998,57.840000,58.320000,58.179188,16354638
2020-10-20,58.799999,59.360001,58.160000,58.720001,58.578224,12302513
2020-10-21,58.240002,59.279999,58.160000,58.560001,58.418606,9226388
2020-10-22,58.639999,62.000000,58.560001,61.759998,61.610882,11970863
2020-10-23,63.439999,64.239998,60.480000,61.040001,60.892620,16570400
2020-10-26,59.680000,60.480000,58.240002,59.040001,58.897449,13031800
2020-10-27,59.200001,59.200001,56.720001,56.799999,56.662853,12271250
2020-10-28,60.080002,62.880001,59.279999,59.360001,59.216675,31686763
2020-10-29,61.279999,61.919998,58.480000,58.959999,58.817642,15412250
2020-10-30,58.720001,60.320000,58.320000,59.360001,59.216675,12796263
2020-11-02,60.000000,60.639999,58.639999,60.160000,60.014744,13609788
2020-11-03,61.200001,63.360001,60.320000,62.799999,62.648369,12234063
2020-11-04,61.520000,64.160004,60.240002,62.799999,62.648369,15865638
2020-11-05,63.599998,64.400002,63.279999,63.919998,63.765663,10725850
2020-11-06,64.160004,65.120003,63.680000,64.720001,64.563736,10515688
2020-11-09,74.800003,75.279999,68.879997,69.760002,69.591568,24160338
2020-11-10,70.559998,72.800003,70.000000,71.839996,71.666542,20591700
2020-11-11,72.879997,72.959999,70.639999,71.120003,70.948280,10930000
2020-11-12,70.080002,70.959999,69.360001,70.080002,69.910789,9939800
2020-11-13,70.879997,74.000000,70.800003,74.000000,73.821327,16247538
2020-11-16,76.879997,77.120003,75.360001,76.559998,76.375145,14846500
2020-11-17,75.599998,77.919998,74.639999,77.440002,77.253021,11293575
2020-11-18,79.760002,80.400002,77.839996,77.839996,77.652054,18608225
2020-11-19,76.959999,78.080002,76.080002,77.279999,77.093407,10897188
2020-11-20,77.120003,78.639999,76.720001,78.080002,77.891479,10016938
2020-11-23,78.879997,82.160004,78.879997,80.559998,80.365486,13524663
2020-11-24,85.680000,86.800003,83.199997,83.599998,83.398148,22036100
2020-11-25,84.239998,84.480003,82.720001,84.000000,83.797188,13734113
2020-11-27,84.400002,84.480003,82.480003,83.199997,82.999107,6769350
2020-11-30,83.120003,83.120003,79.680000,81.440002,81.243370,15638013
2020-12-01,82.639999,83.839996,80.879997,81.199997,81.003944,10845888
2020-12-02,80.639999,83.839996,80.080002,83.440002,83.238533,9654450
2020-12-03,83.199997,85.599998,83.120003,84.800003,84.595261,11431613
2020-12-04,85.360001,87.440002,84.080002,87.040001,86.829849,16877613
2020-12-07,87.120003,88.800003,86.080002,86.879997,86.670227,12175500
2020-12-08,86.559998,88.239998,86.320000,87.680000,87.468300,11672288
2020-12-09,88.000000,91.919998,88.000000,91.120003,90.899994,15766938
2020-12-10,88.639999,91.839996,88.480003,90.559998,90.341347,11958950
2020-12-11,90.239998,91.279999,88.160004,89.279999,89.064430,11123213
2020-12-14,90.160004,90.800003,86.320000,86.639999,86.430801,9914688
2020-12-15,87.599998,89.199997,85.199997,88.879997,88.665398,10826738
2020-12-16,89.040001,89.199997,87.199997,87.440002,87.228882,7351975
2020-12-17,87.519997,87.919998,86.400002,87.040001,86.829849,7805750
2020-12-18,86.239998,88.959999,85.919998,86.480003,86.350563,14344200
2020-12-21,83.760002,86.959999,82.879997,86.160004,86.031036,10727338
2020-12-22,85.680000,86.080002,83.919998,84.879997,84.752953,11125938
2020-12-23,85.440002,87.839996,84.959999,86.879997,86.749962,7563063
2020-12-24,86.800003,86.800003,84.959999,85.199997,85.072472,3756213
2020-12-28,85.599998,86.239998,84.639999,85.120003,84.992599,6724588
2020-12-29,85.279999,86.160004,84.320000,84.480003,84.353561,6629488
2020-12-30,84.639999,86.800003,84.400002,85.680000,85.551758,6327625
2020-12-31,85.199997,86.639999,84.639999,86.400002,86.270676,5962788
2021-01-04,87.120003,87.199997,83.199997,83.760002,83.634628,9993688
2021-01-05,83.440002,87.040001,83.360001,86.160004,86.031036,10462538
2021-01-06,86.639999,92.959999,86.639999,90.879997,90.743973,16448075
2021-01-07,92.480003,92.559998,89.919998,90.160004,90.025055,9411225
2021-01-08,90.320000,91.519997,89.279999,90.720001,90.584213,9089963
2021-01-11,88.879997,92.239998,88.480003,91.599998,91.462891,8406700
2021-01-12,92.080002,95.279999,91.279999,94.239998,94.098946,11429913
2021-01-13,94.239998,94.559998,92.160004,92.559998,92.421455,6714200
2021-01-14,92.879997,93.839996,92.639999,93.279999,93.140381,7401188
2021-01-15,92.800003,92.800003,90.000000,90.639999,90.504333,9201188
2021-01-19,91.839996,93.199997,91.199997,91.440002,91.303139,7937425
2021-01-20,92.000000,92.000000,90.400002,91.120003,90.983620,7376988
2021-01-21,91.199997,91.440002,88.559998,88.559998,88.427444,8200338
2021-01-22,87.760002,89.440002,87.199997,88.879997,88.746964,6614925
2021-01-25,89.120003,89.199997,86.160004,87.919998,87.788406,11502613
2021-01-26,96.239998,97.839996,89.599998,90.320000,90.184814,26475425
2021-01-27,88.639999,92.480003,85.120003,91.040001,90.903740,18679988
2021-01-28,91.279999,91.760002,88.559998,88.720001,88.587204,11762413
2021-01-29,88.000000,89.919998,85.360001,85.440002,85.312119,13657350
2021-02-01,86.879997,88.000000,85.120003,85.919998,85.791397,8335725
2021-02-02,87.040001,90.800003,86.720001,89.919998,89.785416,10558238
2021-02-03,89.919998,90.400002,88.559998,89.599998,89.465881,6776850
2021-02-04,89.839996,92.000000,89.519997,91.599998,91.462891,8345975
2021-02-05,92.080002,92.400002,90.559998,91.199997,91.063492,6477300
2021-02-08,91.760002,93.199997,91.279999,92.879997,92.740974,5306813
2021-02-09,92.480003,92.800003,91.279999,92.320000,92.181816,6592288
2021-02-10,92.720001,92.720001,91.040001,91.199997,91.063492,5694988
2021-02-11,91.120003,91.760002,89.519997,91.680000,91.542778,6478650
2021-02-12,91.279999,93.919998,91.040001,93.839996,93.699539,7304963
2021-02-16,94.559998,95.839996,94.239998,95.760002,95.616669,7539000
2021-02-17,94.720001,95.599998,94.080002,94.879997,94.737984,5367513
2021-02-18,94.720001,94.879997,92.080002,93.040001,92.900742,6106825
2021-02-19,93.760002,96.239998,93.440002,96.160004,96.016075,7631125
2021-02-22,96.559998,101.599998,96.239998,100.000000,99.850327,12079538
2021-02-23,100.800003,101.199997,97.440002,100.720001,100.569244,9005313
2021-02-24,102.400002,106.800003,101.199997,104.959999,104.802895,13348875
2021-02-25,104.800003,106.160004,101.279999,102.080002,101.927208,11542163
2021-02-26,101.440002,102.720001,99.279999,100.320000,100.169846,11091225
2021-03-01,103.360001,106.320000,102.320000,104.879997,104.723015,9754700
2021-03-02,105.199997,106.000000,103.760002,103.839996,103.684570,9650675
2021-03-03,104.720001,108.959999,104.400002,107.519997,107.359062,14696538
2021-03-04,111.040001,113.040001,105.440002,108.559998,108.397514,20820213
2021-03-05,110.400002,110.480003,105.120003,108.800003,108.717270,13121938
2021-03-08,113.680000,114.720001,110.480003,113.360001,113.273796,17964700
2021-03-09,112.800003,115.360001,110.639999,112.000000,111.914833,14308463
2021-03-10,109.199997,109.919998,103.360001,106.000000,105.919395,27528800
2021-03-11,101.519997,102.879997,95.599998,98.160004,98.085358,38225663
2021-03-12,97.919998,100.959999,97.839996,100.639999,100.563469,16818988
2021-03-15,101.919998,106.879997,101.839996,106.800003,106.718788,13925313
2021-03-16,106.639999,106.800003,104.559998,105.199997,105.120003,9307025
2021-03-17,105.599998,108.879997,105.040001,108.879997,108.797203,9903388
2021-03-18,108.720001,109.519997,105.519997,106.000000,105.919395,7970138
2021-03-19,105.599998,106.800003,103.839996,105.760002,105.679581,8559000
2021-03-22,105.279999,105.919998,103.440002,105.040001,104.960121,6598638
2021-03-23,103.680000,105.440002,100.400002,101.279999,101.202980,8206888
2021-03-24,102.080002,104.160004,100.000000,100.000000,99.923958,7759188
2021-03-25,99.199997,103.440002,97.839996,102.800003,102.721832,9173988
2021-03-26,103.599998,105.040001,101.680000,103.919998,103.840973,7565588
2021-03-29,103.360001,104.400002,102.239998,103.599998,103.521217,6720363
2021-03-30,103.839996,106.879997,103.199997,106.400002,106.319092,6615638
2021-03-31,107.040001,107.440002,105.040001,105.040001,104.960121,7823250
2021-04-01,105.839996,106.879997,105.199997,106.239998,106.159210,7397975
2021-04-05,107.760002,108.559998,106.959999,107.680000,107.598114,6342363
2021-04-06,107.680000,108.000000,106.959999,107.199997,107.118477,5006525
2021-04-07,107.199997,108.239998,106.080002,107.120003,107.038544,5220675
2021-04-08,106.080002,108.000000,104.720001,107.599998,107.518173,6864875
2021-04-09,108.000000,110.639999,107.360001,108.800003,108.717270,7905750
2021-04-12,108.879997,109.440002,107.760002,108.720001,108.637329,5259625
2021-04-13,108.080002,108.320000,106.080002,107.519997,107.438232,6402975
2021-04-14,107.440002,110.320000,107.360001,109.440002,109.356781,8079875
2021-04-15,109.839996,110.000000,107.519997,108.400002,108.317574,6360225
2021-04-16,109.040001,109.440002,106.800003,107.120003,107.038544,6253050
2021-04-19,106.559998,107.760002,105.360001,107.680000,107.598114,5609475
2021-04-20,107.279999,107.279999,103.199997,104.480003,104.400551,7682088
2021-04-21,103.440002,107.040001,102.160004,106.800003,106.718788,6201013
2021-04-22,106.800003,109.440002,106.239998,107.279999,107.198418,6575975
2021-04-23,108.000000,108.879997,106.879997,108.400002,108.317574,5829763
2021-04-26,109.040001,112.000000,108.400002,108.559998,108.477448,11722363
2021-04-27,108.000000,108.320000,103.279999,107.919998,107.837929,18721875
2021-04-28,106.639999,106.800003,105.199997,105.599998,105.519699,8261925
2021-04-29,105.440002,106.320000,104.639999,105.680000,105.599640,6894700
2021-04-30,105.279999,106.800003,104.639999,104.959999,104.880180,6237438
2021-05-03,105.919998,108.239998,105.360001,107.599998,107.518173,7934063
2021-05-04,106.720001,107.120003,104.559998,104.959999,104.880180,9692275
2021-05-05,105.279999,106.320000,104.720001,105.680000,105.599640,6958038
2021-05-06,105.760002,106.480003,104.239998,105.680000,105.599640,7847150
2021-05-07,105.279999,106.720001,104.559998,106.400002,106.319092,6735088
2021-05-10,106.480003,108.639999,106.400002,106.800003,106.718788,8195250
2021-05-11,105.519997,106.320000,103.519997,104.720001,104.640366,8501525
2021-05-12,104.639999,105.040001,102.160004,102.559998,102.482010,8856213
2021-05-13,102.400002,104.320000,101.760002,103.760002,103.681099,8197850
2021-05-14,104.959999,106.400002,104.239998,106.080002,105.999336,6334675
2021-05-17,105.839996,106.720001,104.959999,105.199997,105.120003,9542238
2021-05-18,105.440002,106.160004,103.760002,103.760002,103.681099,6115788
2021-05-19,103.199997,104.800003,102.320000,104.720001,104.640366,7427025
2021-05-20,104.720001,104.879997,103.360001,104.480003,104.400551,5809338
2021-05-21,104.879997,106.239998,104.400002,105.839996,105.759514,6665013
2021-05-24,106.320000,106.480003,104.959999,105.440002,105.359825,4876600
2021-05-25,105.599998,106.320000,104.800003,104.959999,104.880180,5916213
2021-05-26,104.959999,107.440002,104.320000,107.199997,107.118477,7533713
2021-05-27,108.800003,115.199997,108.720001,114.800003,114.712708,23073575
2021-05-28,114.320000,114.720001,112.239998,112.480003,112.394470,9071488
2021-06-01,113.839996,114.720001,112.800003,113.199997,113.113914,6284613
2021-06-02,113.440002,113.440002,112.080002,112.720001,112.634285,4992100
2021-06-03,111.919998,114.959999,111.519997,112.720001,112.634285,7895475
2021-06-04,113.279999,113.599998,110.879997,111.680000,111.595078,8008900
2021-06-07,112.000000,112.559998,110.879997,111.279999,111.195381,4668638
2021-06-08,111.760002,111.919998,109.760002,111.199997,111.115433,5515250
2021-06-09,110.160004,110.480003,109.360001,109.839996,109.756470,6970963
2021-06-10,110.480003,110.959999,108.720001,109.040001,108.957085,6229850
2021-06-11,109.199997,110.239998,108.559998,109.519997,109.436714,5295663
2021-06-14,110.239998,110.639999,107.279999,107.760002,107.678055,5678225
2021-06-15,107.599998,108.559998,106.480003,108.320000,108.237633,4753238
2021-06-16,108.000000,109.199997,106.320000,107.519997,107.438232,8766413
2021-06-17,107.279999,108.080002,103.279999,104.000000,103.920914,9626675
2021-06-18,102.720001,104.160004,102.000000,102.239998,102.162254,10258088
2021-06-21,103.120003,105.519997,102.879997,105.519997,105.439758,6744263
2021-06-22,104.959999,105.599998,103.519997,104.239998,104.160728,4783575
2021-06-23,104.160004,105.519997,103.519997,103.599998,103.521217,5459688
2021-06-24,104.480003,105.599998,103.360001,105.199997,105.120003,5977550
2021-06-25,105.279999,105.919998,104.800003,105.279999,105.279999,4264450
2021-06-28,105.279999,105.360001,102.320000,103.120003,103.120003,7723450
2021-06-29,104.480003,105.839996,103.680000,104.720001,104.720001,8649650
2021-06-30,105.199997,108.239998,104.400002,107.680000,107.680000,8568975
2021-07-01,108.639999,109.040001,106.879997,107.839996,107.839996,5836638
2021-07-02,108.320000,108.320000,106.480003,106.879997,106.879997,4144988
2021-07-06,106.239998,106.559998,102.559998,103.360001,103.360001,8829850
2021-07-07,103.040001,104.639999,101.919998,103.839996,103.839996,7632563
2021-07-08,101.839996,103.519997,100.879997,102.959999,102.959999,6727850
2021-07-09,104.080002,105.519997,103.519997,105.279999,105.279999,5165288
2021-07-12,104.480003,105.120003,103.199997,104.879997,104.879997,6969838
2021-07-13,104.720001,104.720001,103.040001,103.120003,103.120003,4926450
2021-07-14,103.040001,103.839996,101.760002,102.480003,102.480003,5588738
2021-07-15,101.519997,103.360001,100.559998,102.080002,102.080002,6423850
2021-07-16,102.400002,102.959999,100.160004,100.400002,100.400002,5695475
2021-07-19,97.519997,97.919998,94.559998,96.000000,96.000000,12362150
2021-07-20,96.080002,101.919998,95.919998,101.599998,101.599998,9390363
2021-07-21,102.320000,104.879997,102.160004,104.639999,104.639999,8440725
2021-07-22,104.400002,104.480003,101.599998,101.599998,101.599998,5427875
2021-07-23,102.400002,103.040001,101.040001,101.680000,101.680000,4722413
2021-07-26,101.279999,103.519997,101.040001,103.360001,103.360001,6728613
2021-07-27,106.639999,107.760002,102.400002,104.639999,104.639999,14930538
2021-07-28,105.199997,107.839996,104.320000,105.040001,105.040001,8571038
2021-07-29,105.519997,107.040001,104.720001,106.320000,106.320000,6784563
2021-07-30,105.279999,105.760002,103.360001,103.599998,103.599998,7507838
2021-08-02,104.480003,107.209999,100.430000,100.599998,100.599998,24885500
2021-08-03,100.199997,103.199997,98.110001,103.059998,103.059998,14440000
2021-08-04,101.809998,103.449997,101.459999,102.910004,102.910004,14144300
2021-08-05,103.000000,104.639999,102.519997,103.019997,103.019997,8130800
2021-08-06,103.360001,105.260002,103.360001,104.519997,104.519997,10984300
2021-08-09,103.559998,104.269997,102.029999,103.709999,103.709999,7954700
2021-08-10,103.809998,106.330002,103.199997,106.080002,106.080002,8056100
2021-08-11,106.209999,106.209999,103.820000,106.040001,106.040001,8305100
2021-08-12,106.190002,107.230003,105.239998,106.519997,106.519997,6398700
2021-08-13,106.500000,106.620003,104.580002,104.919998,104.919998,5617100
2021-08-16,104.230003,104.300003,102.239998,103.349998,103.349998,6916200
2021-08-17,102.540001,103.269997,100.360001,101.620003,101.620003,8177400
2021-08-18,101.080002,103.470001,100.760002,101.410004,101.410004,6496500
2021-08-19,100.000000,100.820000,98.599998,99.419998,99.419998,10805700
2021-08-20,99.589996,100.669998,99.099998,100.050003,100.050003,6355700
2021-08-23,100.599998,101.480003,100.269997,100.970001,100.970001,6007400
2021-08-24,101.290001,103.510002,101.059998,103.269997,103.269997,6857700
2021-08-25,103.360001,105.129997,102.550003,104.699997,104.699997,7867100
2021-08-26,104.459999,104.620003,102.839996,103.379997,103.379997,8166500
2021-08-27,103.900002,106.150002,103.900002,106.089996,106.089996,7766400
2021-08-30,106.330002,106.459999,104.800003,105.190002,105.190002,7145700
2021-08-31,104.940002,106.360001,104.459999,105.410004,105.410004,10990800
2021-09-01,105.360001,105.470001,103.260002,103.660004,103.660004,7968100
2021-09-02,104.000000,106.339996,103.980003,106.260002,106.260002,8493700
2021-09-03,106.000000,107.360001,104.080002,104.750000,104.750000,7616900
2021-09-07,104.500000,104.940002,102.309998,103.290001,103.290001,10989500
2021-09-08,102.949997,104.730003,100.419998,102.580002,102.580002,12001300
2021-09-09,102.360001,104.919998,102.110001,103.290001,103.290001,9385200
