cell_name,OP_STD,wk_planned_hc,schedule_factor
FB-C37,FB5C,9,88
FCUST-C29,FC01,7,54
FCUST-C29,FC03,7,54
FCUST-C29,FC04,7,62
FCUST-C29,FC05,7,148
FCUST-C29,FC06,7,123
FCUST-C29,FC07,7,141
FCUST-C29,FC08,7,135
FCUST-C29,FC77,7,130
FG-C18,FGPA,4,69
FG-C18,FGPG,4,68
FG-C188,FGPB,4,61
FG-C188,FGPI,4,45
HIOC-C34,H285,3,69
HIOC-C34,H58A,3,77
HIOC-C34,H58B,3,79
HIOC-C34,H59A,3,69
HIOC-C34,H59B,3,69
HIOC-C34,H60A,3,69
HIOC-C34,H60B,3,76
HIOC-C34,H92A,3,73
HIOC-C34,H92B,3,84
HIOC-C34,H93A,3,78
HIOC-C34,H93B,3,61
HIOC-C34,H94A,3,70
HIOC-C34,H94B,3,75
FGRIP-C11,FGPJ,7,81
FGRIP-C11,FGPK,7,63
FGRIP-C11,FGPL,7,77
FGRIP-C11,FGPM,7,78
NEXIA-C3,F595,11,95
NEXIA-C3,F599,11,94
SENSE-C9,479A,5,68
SENSE-C9,479B,5,68
SENSE-C9,CNTC,5,50
SENSE-C9,CNTA,5,50
SENSE-C9,CNTB,5,50
FCUST-C28,FC09,2,28
FCUST-C28,FC10,2,31
FCUST-C28,FC11,2,47
FCUST-C28,FC12,2,84
FCUST-C28,FC13,2,69
FCUST-C28,FC14,2,58
FCUST-C28,FC15,2,58
FCUST-C28,FC16,2,53
FGRIP-C11,FGPD,7,55
,,,
,,,
,,,
,,,
,,,
,,,
,,,
BSLCK-C13,,9,103
BSLCK-C13,,9,100
BSLCK-C13,,9,108
BSLCK-C13,,9,108
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,104
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
DENALI-C39,,11,125
DENALI-C39,,11,131
DENALI-C39,,11,77
F40-C23,,8,89
F40-C23,,8,89
F40-C25,,9,79
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,100
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,87
F40-C25,,9,82
F40-C25,,9,82
F40-C26,,8,89
F40-C26,,8,89
F51-C22,,9,121
F51-C22,,9,100
F51-C22,,9,101
F51-C22,,9,100
F51-C22,,9,112
F51-C22,,9,100
F51-C22,,9,111
F51-C22,,9,111
F51-C22,,9,111
FB-C21,,13,129
FB-C37,,9,69
FB-C37,,9,64
FB-C37,,9,88
FB-C37,,5,34
FB-C37,,5,32
FB-C37,,5,44
FCUST-C29,,7,54
FCUST-C29,,7,54
FCUST-C29,,7,62
FCUST-C29,,7,148
FCUST-C29,,7,123
FCUST-C29,,7,141
FCUST-C29,,7,135
FCUST-C29,,7,130
FCUST-C28,,2,28
FCUST-C28,,2,31
FCUST-C28,,2,47
FCUST-C28,,2,84
FCUST-C28,,2,69
FCUST-C28,,2,58
FCUST-C28,,2,58
FCUST-C28,,2,53
FG-C18,,4,69
FG-C18,,4,68
FG-C188,,4,61
FG-C188,,4,45
HIOC-C34,,3,69
HIOC-C34,,3,77
HIOC-C34,,3,79
HIOC-C34,,3,69
HIOC-C34,,3,69
HIOC-C34,,3,69
HIOC-C34,,3,76
HIOC-C34,,3,73
HIOC-C34,,3,84
HIOC-C34,,3,78
HIOC-C34,,3,61
HIOC-C34,,3,70
HIOC-C34,,3,75
FGRIP-C11,,7,81
FGRIP-C11,,7,63
FGRIP-C11,,7,77
FGRIP-C11,,7,78
FGRIP-C11,,7,55
NEXIA-C3,,11,95
NEXIA-C3,,11,94
SENSE-C9,,5,68
SENSE-C9,,5,68
SENSE-C9,,5,50
SENSE-C9,,5,50
SENSE-C9,,5,50
FCUST-C28,,3,36
FCUST-C28,,3,36
FCUST-C28,,3,47
FCUST-C28,,3,46
FCUST-C28,,3,57
FCUST-C28,,3,57
FCUST-C28,,3,53
FCUST-C28,,3,89
FCUST-C28,,3,36
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
BSLCK-C17,,9,103
BSLCK-C17,,9,100
BSLCK-C17,,9,108
BSLCK-C17,,9,108
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,104
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C13,,9,103
BSLCK-C13,,9,100
BSLCK-C13,,9,108
BSLCK-C13,,9,108
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,104
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
CONTROL-C2,,5,60
DENALI-C39,,11,125
DENALI-C39,,11,131
DENALI-C39,,11,77
F40-C23,,8,89
F40-C23,,8,89
F40-C25,,9,89
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,100
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,87
F40-C25,,9,82
F40-C25,,9,82
F40-C26,,8,89
F40-C26,,8,89
F51-C22,,9,121
F51-C22,,9,100
F51-C22,,9,104
F51-C22,,9,115
F51-C22,,9,112
F51-C22,,9,100
F51-C22,,9,111
F51-C22,,9,111
F51-C22,,9,111
FB-C21,,13,129
FB-C37,,9,69
FB-C37,,9,64
FB-C37,,9,88
FB-C37,,5,34
FB-C37,,5,32
FB-C37,,5,44
FCUST-C29,,7,54
FCUST-C29,,7,54
FCUST-C29,,7,62
FCUST-C29,,7,148
FCUST-C29,,7,123
FCUST-C29,,7,141
FCUST-C29,,7,135
FCUST-C29,,7,130
FCUST-C28,,2,28
FCUST-C28,,2,31
FCUST-C28,,2,47
FCUST-C28,,2,84
FCUST-C28,,2,69
FCUST-C28,,2,58
FCUST-C28,,2,58
FCUST-C28,,2,53
FG-C18,,4,69
FG-C18,,4,68
FG-C188,,4,61
FG-C188,,4,45
HIOC-C34,,3,69
HIOC-C34,,3,77
HIOC-C34,,3,79
HIOC-C34,,3,69
HIOC-C34,,3,69
HIOC-C34,,3,69
HIOC-C34,,3,76
HIOC-C34,,3,73
HIOC-C34,,3,84
HIOC-C34,,3,78
HIOC-C34,,3,61
HIOC-C34,,3,70
HIOC-C34,,3,75
FGRIP-C11,,7,81
FGRIP-C11,,7,63
FGRIP-C11,,7,77
FGRIP-C11,,7,78
FGRIP-C11,,7,55
NEXIA-C3,,11,95
NEXIA-C3,,11,94
SENSE-C9,,5,68
SENSE-C9,,5,68
SENSE-C9,,5,50
SENSE-C9,,5,50
SENSE-C9,,5,50
FCUST-C28,,3,36
FCUST-C28,,3,36
FCUST-C28,,3,47
FCUST-C28,,3,46
FCUST-C28,,3,57
FCUST-C28,,3,57
FCUST-C28,,3,53
FCUST-C28,,3,89
FCUST-C28,,3,36
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
BSLCK-C17,,9,103
BSLCK-C17,,9,100
BSLCK-C17,,9,106
BSLCK-C17,,9,106
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,104
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C13,,9,103
BSLCK-C13,,9,100
BSLCK-C13,,9,108
BSLCK-C13,,9,108
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,104
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
DENALI-C39,,11,125
DENALI-C39,,11,131
DENALI-C39,,11,77
F40-C25,,9,79
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,100
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,87
F40-C25,,9,82
F40-C25,,9,82
F51-C22,,9,121
F51-C22,,9,102
F51-C22,,9,101
F51-C22,,9,100
F51-C22,,9,112
F51-C22,,9,108
F51-C22,,9,111
F51-C22,,9,111
F51-C22,,9,111
FB-C21,,13,129
FB-C37,,9,73
FB-C37,,9,67
FB-C37,,9,93
FB-C37,,5,34
FB-C37,,5,32
FB-C37,,5,44
FCUST-C29,,7,54
FCUST-C29,,7,54
FCUST-C29,,7,62
FCUST-C29,,7,148
FCUST-C29,,7,123
FCUST-C29,,7,141
FCUST-C29,,7,135
FCUST-C29,,7,130
FCUST-C28,,2,28
FCUST-C28,,2,31
FCUST-C28,,2,47
FCUST-C28,,2,84
FCUST-C28,,2,69
FCUST-C28,,2,58
FCUST-C28,,2,58
FCUST-C28,,2,53
FG-C18,,4,69
FG-C18,,4,68
FG-C188,,4,61
FG-C188,,4,45
HIOC-C34,,5,74
HIOC-C34,,5,67
HIOC-C34,,5,170
HIOC-C34,,5,255
HIOC-C34,,5,181
HIOC-C34,,5,127
HIOC-C34,,5,211
HIOC-C34,,5,161
FCUST-C28,,4,36
FCUST-C28,,4,36
FCUST-C28,,4,47
FCUST-C28,,4,46
FCUST-C28,,4,57
FCUST-C28,,4,57
FCUST-C28,,4,53
FCUST-C28,,4,89
FCUST-C28,,4,36
FGRIP-C11,,7,81
FGRIP-C11,,7,63
FGRIP-C11,,7,77
FGRIP-C11,,7,78
FGRIP-C11,,7,55
NEXIA-C3,,11,95
NEXIA-C3,,11,94
NEXIA-C3,,6,21
NEXIA-C3,,6,26
NEXIA-C3,,6,26
SENSE-C9,,5,68
SENSE-C9,,5,68
SENSE-C9,,5,50
SENSE-C9,,5,50
SENSE-C9,,5,50
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
CONNECTC31,,9,85
BSLCK-C17,,9,103
BSLCK-C17,,9,100
BSLCK-C17,,9,108
BSLCK-C17,,9,108
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,104
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,9,100
BSLCK-C17,,4,52
BSLCK-C17,,4,47
BSLCK-C17,,4,54
BSLCK-C17,,4,54
BSLCK-C17,,4,51
BSLCK-C17,,4,51
BSLCK-C17,,4,42
BSLCK-C17,,4,57
BSLCK-C17,,4,63
BSLCK-C17,,4,44
BSLCK-C17,,4,52
BSLCK-C17,,4,50
BSLCK-C13,,9,103
BSLCK-C13,,9,100
BSLCK-C13,,9,108
BSLCK-C13,,9,108
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,104
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
BSLCK-C13,,9,100
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
CONTROL-C2,,8,90
DENALI-C39,,11,125
